,source_file,speaker_id,utterance,utt_id,region_id,c_type,target
40,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"Yeah, I'm a PK",171,ATL,contracted,I'm
41,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"Uh, he's a-",189,ATL,contracted,he's
42,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,/RD-NAME-2/'s three years older than me. He's thirty-four.,197,ATL,contracted,He's
43,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"So, you know, but that's m- that's my guy, man. It's- it's like, you know we're brothers. It's a natural-",215,ATL,contracted,we're
44,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"Know what I'm saying, she's a very strong woman.",239,ATL,contracted,I'm
44,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"Know what I'm saying, she's a very strong woman.",239,ATL,contracted,she's
45,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,So we're pretty close to answer your question.,270,ATL,contracted,we're
46,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"Um, now we're not as close,",272,ATL,contracted,we're
47,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"But to my knowledge, you know, when we were around each other, we pretty much did the same things, so",328,ATL,copula,we were
48,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"I mean, we were all pretty close coming up,",340,ATL,copula,we were
49,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"I was- funny thing is, I was probably more closer to my",344,ATL,copula,I was
49,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"I was- funny thing is, I was probably more closer to my",344,ATL,copula,I was
50,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"dad's side of the family than I was my mom's side,",346,ATL,copula,I was
51,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"we were kind of in and out of seeing each other, but",362,ATL,copula,we were
52,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[You know], so, you [know what I'm saying], like it was one of those type of situations, like",404,ATL,contracted,I'm
53,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"I was always the- the mischievous child on the bus,",465,ATL,copula,I was
54,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[always had] to be in the girl's face, you know what I'm saying. That was me coming up,",470,ATL,contracted,I'm
55,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[you know what I'm saying], [yeah, yeah, yeah, yeah.]",476,ATL,contracted,I'm
56,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,middle school high school is kind of when I came into who I was.,503,ATL,copula,I was
57,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"So I was always around music,",517,ATL,copula,I was
58,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[Right] after home room, I was in his class all day.",554,ATL,copula,I was
59,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,til it became a point where I was getting put out of my,563,ATL,copula,I was
60,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[you know], or do- do what I had to do because I was so geek to play music at the time.",571,ATL,copula,I was
61,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"I was using two cymbals,",591,ATL,copula,I was
62,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[you] know what I'm saying, to the point where he put me in the talent show.",607,ATL,contracted,I'm
63,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"you know what I'm saying, at the [time.]",616,ATL,contracted,I'm
64,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,you know what I'm saying. But,627,ATL,contracted,I'm
65,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,and I'm sitting in there. I'm the only nigga playing the piano.,635,ATL,contracted,I'm
65,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,and I'm sitting in there. I'm the only nigga playing the piano.,635,ATL,contracted,I'm
66,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,you know what I'm saying. And then,639,ATL,contracted,I'm
67,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"realized I could make honest money doing it, man. I been doing it ever since.",651,ATL,copula,I been
68,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"Know what I'm saying, so",684,ATL,contracted,I'm
69,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"just doing my own thing. I- I left home when I was fifteen,",688,ATL,copula,I was
70,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"So that's a story in itself, you know what I'm saying. [But]",697,ATL,contracted,I'm
71,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"you know what I'm saying,",717,ATL,contracted,I'm
72,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"I felt like the things in school were- not to be like a Black Panther or anything, but I felt [like the knowledge] that they was giving us",768,ATL,copula,they was
73,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"you know what I'm saying. And- and I would aks questions and challenge the teacher,",779,ATL,contracted,I'm
74,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"you know what I'm saying, and never looked back.",800,ATL,contracted,I'm
75,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"nah, I'm pretty much a loner, man.",814,ATL,contracted,I'm
76,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"playing off of those situations, I'm taking, you know,",860,ATL,contracted,I'm
77,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"yeah. Nah, I mean, it was okay, you know what I'm saying. Um,",892,ATL,contracted,I'm
78,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"Yeah, man, it was- I mean, for me at the time, man, I'm- I'm fifteen. Nah, I'm like fourteen.",910,ATL,contracted,I'm
78,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"Yeah, man, it was- I mean, for me at the time, man, I'm- I'm fifteen. Nah, I'm like fourteen.",910,ATL,contracted,I'm
78,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"Yeah, man, it was- I mean, for me at the time, man, I'm- I'm fifteen. Nah, I'm like fourteen.",910,ATL,contracted,I'm
79,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[Yeah], you know what I'm saying, like thirteen, fourteen. It's sweeping hair, but I'm walking out of there with a free haircut",914,ATL,contracted,I'm
79,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[Yeah], you know what I'm saying, like thirteen, fourteen. It's sweeping hair, but I'm walking out of there with a free haircut",914,ATL,contracted,I'm
80,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"I'm constantly, you know what I'm saying, and then",923,ATL,contracted,I'm
80,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"I'm constantly, you know what I'm saying, and then",923,ATL,contracted,I'm
81,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"the time in between is mine, so I'm in the back playing PlayStation. I'm- you know, I'm running to the store,",925,ATL,contracted,I'm
81,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"the time in between is mine, so I'm in the back playing PlayStation. I'm- you know, I'm running to the store,",925,ATL,contracted,I'm
81,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"the time in between is mine, so I'm in the back playing PlayStation. I'm- you know, I'm running to the store,",925,ATL,contracted,I'm
82,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"you know what I'm saying, for the barbers, grabbing food and shit, but I get to keep the change, you know what I'm saying. The change might be seven, eight bucks.",927,ATL,contracted,I'm
82,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"you know what I'm saying, for the barbers, grabbing food and shit, but I get to keep the change, you know what I'm saying. The change might be seven, eight bucks.",927,ATL,contracted,I'm
83,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"So, you know, I'm leaving with maybe sixty, seventy bucks on the regular.",931,ATL,contracted,I'm
84,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,[that] I just didn't know who they were at the time because I was so young.,937,ATL,copula,they were
84,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,[that] I just didn't know who they were at the time because I was so young.,937,ATL,copula,I was
85,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,you know what I'm saying. But I used to see,940,ATL,contracted,I'm
86,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"all types of people come through there, you know what I'm saying, like just rappers, artists and all types of shit. It was a very prominent barber shop at the time, and I believe it's still in existence.",942,ATL,contracted,I'm
87,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[You know] what I'm saying, /RD-WORK-2/ Barber Shop,",947,ATL,contracted,I'm
88,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"you know what I'm saying, but w-",986,ATL,contracted,I'm
89,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,that Roc-A-Fella day. Like I was there.,993,ATL,copula,I was
90,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"I wasn't there physically, but I was there sonically, [meaning like I was-]",995,ATL,copula,I was
90,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"I wasn't there physically, but I was there sonically, [meaning like I was-]",995,ATL,copula,I was
91,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,I was a [early] fan. I been fucking with Jay-Z from day one.,997,ATL,copula,I was
91,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,I was a [early] fan. I been fucking with Jay-Z from day one.,997,ATL,copula,I been
92,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"you know what I'm saying, like,",1002,ATL,contracted,I'm
93,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"When you break it down, he's speaking real shit,",1017,ATL,contracted,he's
94,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"You know what I'm saying, he's not a gimmick rapper. He's very organic with his shit.",1021,ATL,contracted,I'm
94,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"You know what I'm saying, he's not a gimmick rapper. He's very organic with his shit.",1021,ATL,contracted,he's
94,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"You know what I'm saying, he's not a gimmick rapper. He's very organic with his shit.",1021,ATL,contracted,He's
95,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"you know what I'm saying, from his business aspect and how he moves as a businessman is fucking impeccable.",1025,ATL,contracted,I'm
96,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"You know what I'm saying, his catalog is crazy, um,",1029,ATL,contracted,I'm
97,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"You [know what I'm saying, that]",1035,ATL,contracted,I'm
98,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"You know what I'm saying, so.",1042,ATL,contracted,I'm
99,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,I'm- I'm'a- I'm'a-,1047,ATL,contracted,I'm
99,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,I'm- I'm'a- I'm'a-,1047,ATL,contracted,I'm
99,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,I'm- I'm'a- I'm'a-,1047,ATL,contracted,I'm
100,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,I'm'a-,1049,ATL,contracted,I'm
101,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"You [know what I'm saying], I- I heard his music for the first time.",1054,ATL,contracted,I'm
102,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,He's under-,1066,ATL,contracted,He's
103,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,he's underrated,1068,ATL,contracted,he's
104,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"He's gonna be around for- he's definitely one of the ones, man. Kendrick is-",1076,ATL,contracted,He's
104,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"He's gonna be around for- he's definitely one of the ones, man. Kendrick is-",1076,ATL,contracted,he's
105,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"he's just phenomenal, man, [like-]",1078,ATL,contracted,he's
106,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"You know what I'm saying, cause Drake can get gritty.",1098,ATL,contracted,I'm
107,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"because I'm a actual musician,",1140,ATL,contracted,I'm
108,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,you know what I'm [saying.],1142,ATL,contracted,I'm
109,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"you know what I'm saying, but you know what it is.",1178,ATL,contracted,I'm
110,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"You know what I'm saying, like I- I definitely could deal with that type. But every now and then,",1180,ATL,contracted,I'm
111,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"you know what I'm [saying, a] pretty whore.",1184,ATL,contracted,I'm
112,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"You [know what I'm saying], like I'm not-",1186,ATL,contracted,I'm
112,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"You [know what I'm saying], like I'm not-",1186,ATL,contracted,I'm
113,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,I'm not savage.,1188,ATL,contracted,I'm
114,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"You know what I'm saying, but,",1198,ATL,contracted,I'm
115,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"You [know what I'm saying, I like] artsy girls, real nerdy but",1206,ATL,contracted,I'm
116,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[You know what] I'm saying, that's just [me.]",1210,ATL,contracted,I'm
117,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,[I'm cool like-],1263,ATL,contracted,I'm
118,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,[I'm cool-] I'm cool with a SZA. I'm cool with a-,1267,ATL,contracted,I'm
118,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,[I'm cool-] I'm cool with a SZA. I'm cool with a-,1267,ATL,contracted,I'm
118,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,[I'm cool-] I'm cool with a SZA. I'm cool with a-,1267,ATL,contracted,I'm
119,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[with a Jhene Aiko, yeah], yeah, yeah, I'm just cool with something real laid back, real chill in the cut. I don't need to be-",1269,ATL,contracted,I'm
120,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"you know what I'm saying, that's more the perspective of being heard.",1275,ATL,contracted,I'm
121,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,[you know what I'm saying.],1280,ATL,contracted,I'm
122,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"Know what I'm saying, but-",1289,ATL,contracted,I'm
123,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[I'm-] yeah, [man, I'm-]",1308,ATL,contracted,I'm
123,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[I'm-] yeah, [man, I'm-]",1308,ATL,contracted,I'm
124,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[I'm always into], uh, uh, shit like The Boondocks. I love The Boondocks, [man. It's-]",1310,ATL,contracted,I'm
125,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"of it, you know what I'm saying, ay ay shouts out to Boondocks and the creators, man. I wish y'all would come back.",1320,ATL,contracted,I'm
126,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[You know] what I'm saying, like",1322,ATL,contracted,I'm
127,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[you] can p- I'll go on the record saying that real shit, you know what I'm saying, just to be a part of that movement, [man. Like]",1327,ATL,contracted,I'm
128,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"You know what I'm saying, like, you know, so my- you know, I'm in- I l- I just love movies, man. I love",1330,ATL,contracted,I'm
128,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"You know what I'm saying, like, you know, so my- you know, I'm in- I l- I just love movies, man. I love",1330,ATL,contracted,I'm
129,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"you [know what I'm saying, Denzel] Washington. [Um],",1343,ATL,contracted,I'm
130,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"it's somebody else I'm not thinking of that- and they are a entertainer. They're actually a rapper, but they're dope as fuck.",1351,ATL,contracted,I'm
131,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,he's [dope.],1355,ATL,contracted,he's
132,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[Yeah, you know] what I'm saying, it's, uh, Jamie Foxx,",1357,ATL,contracted,I'm
133,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,[absolutely.] He's definitely- he's the new- he- to me he's the modern day Denzel.,1370,ATL,contracted,He's
133,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,[absolutely.] He's definitely- he's the new- he- to me he's the modern day Denzel.,1370,ATL,contracted,he's
133,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,[absolutely.] He's definitely- he's the new- he- to me he's the modern day Denzel.,1370,ATL,contracted,he's
134,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,[He's] proven it,1372,ATL,contracted,He's
135,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,He's [proven it.],1375,ATL,contracted,He's
136,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"put him in that same category, you know what I'm saying, [of the] [respect level that Denzel has. Yeah, yeah, all day.]",1379,ATL,contracted,I'm
137,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,[He has- he's] probably superseded,1384,ATL,contracted,he's
138,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"cause [in my] opinion, he's probably been in more movies.",1387,ATL,contracted,he's
139,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"So, you know what I'm saying, like",1397,ATL,contracted,I'm
140,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"of how I listen to music, but, you know what I'm saying, maybe it'll help [somebody else, open 'em up],",1413,ATL,contracted,I'm
141,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,you know what I'm saying.,1415,ATL,contracted,I'm
142,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"I'm into all that shit, man. Any-",1426,ATL,contracted,I'm
143,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,I'm into anything animated except,1428,ATL,contracted,I'm
144,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"Know what I'm [saying, I can't-]",1432,ATL,contracted,I'm
145,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[yeah, I can't get with that sh-] yeah, yeah, yeah, yeah, yeah. I wanna see real titties, man, [you know what I'm saying.]",1434,ATL,contracted,I'm
146,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,[you know what I'm saying.],1488,ATL,contracted,I'm
147,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,I'm'a do it just because.,1490,ATL,contracted,I'm
148,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[you know] what I'm saying. But,",1530,ATL,contracted,I'm
149,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"you know what I'm saying, like I just want you to know who I am, a-",1531,ATL,contracted,I'm
150,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,you know what I'm saying. So don't get-,1535,ATL,contracted,I'm
151,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"or don't get stuck on, you know, the little things that I say cause I'm so random, man. I'll just say anything,",1541,ATL,contracted,I'm
152,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,[know what I'm saying.],1551,ATL,contracted,I'm
153,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[Nah, nah, nah, I'm already here, bro.]",1565,ATL,contracted,I'm
154,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"you know what I'm saying,",1578,ATL,contracted,I'm
155,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,you know what I'm saying.,1611,ATL,contracted,I'm
156,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,[I'm preparing] myself. Now I'm [a little /hot./],1678,ATL,contracted,I'm
156,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,[I'm preparing] myself. Now I'm [a little /hot./],1678,ATL,contracted,I'm
157,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[Yeah, but lowkey] he need to be embracing that shit, you know what I'm saying. Least inquire",1748,ATL,contracted,I'm
158,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"about what he's saying, you know, seek further knowledge. And that's what we as-",1750,ATL,contracted,he's
159,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"and then we look up and we're thirty-five, forty [years old]",1756,ATL,contracted,we're
160,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[the] A list celebrity, you know what I'm saying. They don't take time to look into their paperwork.",1769,ATL,contracted,I'm
161,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"So I stress that, you know what I'm saying, I'm not even saying I've arrived, cause I-",1771,ATL,contracted,I'm
161,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"So I stress that, you know what I'm saying, I'm not even saying I've arrived, cause I-",1771,ATL,contracted,I'm
162,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"You know what I'm saying, so-",1779,ATL,contracted,I'm
163,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"and I mean that in the most humble way, you know what I'm saying,",1781,ATL,contracted,I'm
164,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"you know what I'm saying, Yahweh.",1787,ATL,contracted,I'm
165,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"You know what I'm saying, but",1789,ATL,contracted,I'm
166,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"You know what [I'm saying,]",1801,ATL,contracted,I'm
167,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"I'm from [up North, man, so], you know.",1803,ATL,contracted,I'm
