,source_file,speaker_id,utterance,utt_id,region_id,q_type,target
45,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"that /nigga/ came- he came and looked out for me and everything. He was like, you ain't gotta worry about shit. You ever come- you ever come around here again, tell 'em you with me, and you good.",2200,ATL,q_like_copula,"He was like,"
46,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"everything, and I'm like,",2287,ATL,q_like_contracted,"and I'm like,"
47,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"thugs and stuff. I'm like, nigga your school is indoors. Like what the f- <laugh> they not that afraid of you.",2394,ATL,q_like_contracted,"I'm like,"
48,ATL_se0_ag1_f_01_1,ATL_se0_ag1_f_01,"[or] the next day you know, you got these gang members quote unquote. Coming in and out of the school. We like, who are y'all? Where'd y'all come from?",364,ATL,q_like_zero,"We like,"
49,ATL_se0_ag1_f_01_1,ATL_se0_ag1_f_01,"I switched my major up soon as I took them classes. I'm like, oh, my stomach is",484,ATL,q_like_contracted,"I'm like,"
50,ATL_se0_ag1_f_01_1,ATL_se0_ag1_f_01,"I'm like, I ain't never seen that when I was in school /RD-NAME-3/.",616,ATL,q_like_contracted,"I'm like,"
51,ATL_se0_ag1_f_01_1,ATL_se0_ag1_f_01,"I don't even remember what it was, but I'm like, okay.",620,ATL,q_like_contracted,"I'm like,"
52,ATL_se0_ag1_f_01_1,ATL_se0_ag1_f_01,"And then they start talking about regions and something. And I'm like, what the fuck is [a region?]",624,ATL,q_like_contracted,"And I'm like,"
53,ATL_se0_ag1_f_01_1,ATL_se0_ag1_f_01,"I mean I told that man /RD-NAME-2/, if it be a little boy,",1109,ATL,q_tell,I told that man 
54,ATL_se0_ag1_f_03_1,ATL_se0_ag1_f_03,"And like I was making good grades. I was like, you know what? I l- I kind of like this. I'm making good [grades.]",257,ATL,q_like_copula,"I was like,"
55,ATL_se0_ag1_f_03_1,ATL_se0_ag1_f_03,"Know what, I think,",788,ATL,q_think,"I think,"
56,ATL_se0_ag1_f_03_1,ATL_se0_ag1_f_03,I think-,1081,ATL,q_think,I think-
57,ATL_se0_ag1_f_03_1,ATL_se0_ag1_f_03,"They say, um, it's lit.",1150,ATL,q_say,"They say,"
58,ATL_se0_ag1_f_03_1,ATL_se0_ag1_f_03,"They say, um,",1155,ATL,q_say,"They say,"
59,ATL_se0_ag1_f_03_1,ATL_se0_ag1_f_03,"say you're doing something and it's getting on my nerves. I be like, you dragging like,",1161,ATL,q_like_copula,"I be like,"
60,ATL_se0_ag1_f_03_1,ATL_se0_ag1_f_03,"I'm like- I'm like, what is going on? He like, hey put your-",1283,ATL,q_like_contracted,I'm like-
60,ATL_se0_ag1_f_03_1,ATL_se0_ag1_f_03,"I'm like- I'm like, what is going on? He like, hey put your-",1283,ATL,q_like_contracted,"I'm like,"
61,ATL_se0_ag1_f_03_1,ATL_se0_ag1_f_03,"I'm like- I'm like, what is going on? He like, hey put your-",1283,ATL,q_like_zero,"He like,"
62,ATL_se0_ag1_f_03_1,ATL_se0_ag1_f_03,"And I'm like [what? No hi? No, you're pretty? Or how you doing?]",1287,ATL,q_like_contracted,And I'm like [
63,ATL_se0_ag1_m_01_1,ATL_se0_ag1_m_01,"One day I was like, fuck it. I had just stay home for a long ass time now, finally came back up to the school, me and my homeboy.",405,ATL,q_like_copula,"I was like,"
64,ATL_se0_ag1_m_01_1,ATL_se0_ag1_m_01,"He's like, boy they clapping for you. You know what I'm saying. I was like, oh shit. (laughing)",501,ATL,q_like_copula,"I was like,"
65,ATL_se0_ag1_m_01_1,ATL_se0_ag1_m_01,"He's like, boy they clapping for you. You know what I'm saying. I was like, oh shit. (laughing)",501,ATL,q_like_contracted,"He's like,"
66,ATL_se0_ag1_m_01_1,ATL_se0_ag1_m_01,"I was all, okay cool, you know what I'm saying.",666,ATL,q_all_copula,"I was all,"
67,ATL_se0_ag1_m_01_1,ATL_se0_ag1_m_01,"I swear to God, bruh. I said, man these niggas is weird as fuck. I'm finna be late.",741,ATL,q_say,"I said,"
68,ATL_se0_ag1_m_01_1,ATL_se0_ag1_m_01,"I was like, man,",946,ATL,q_like_copula,"I was like,"
69,ATL_se0_ag1_m_01_1,ATL_se0_ag1_m_01,"he's trying to work the fuck out of us for like seven twenty-five. I was like, man, I'm out of here, bruh.",948,ATL,q_like_copula,"I was like,"
70,ATL_se0_ag1_m_01_1,ATL_se0_ag1_m_01,"Shit, I was thinking like-",1310,ATL,q_think,I was thinking like-
71,ATL_se0_ag1_m_01_1,ATL_se0_ag1_m_01,"I go in there and I- I be like, shit,",1425,ATL,q_like_copula,"I be like,"
72,ATL_se0_ag1_m_01_1,ATL_se0_ag1_m_01,"cool well I'm finna cook something. They be like, whatchu gonna cook, bruh? It's like",1427,ATL,q_like_copula,"They be like,"
74,ATL_se0_ag1_m_04_2,ATL_se0_ag1_m_04,"I was like, man, this music too good. Let me go ahead and hide.",455,ATL,q_like_copula,"I was like,"
75,ATL_se0_ag1_m_04_2,ATL_se0_ag1_m_04,"I had two people tell me when I first got the sign, they was like, nah, bruh, don't do it. One of 'em is a rapper, and one of 'em is a-",507,ATL,q_like_copula,"they was like,"
76,ATL_se0_ag1_m_04_1,ATL_se0_ag1_m_04,"So the [few who I tell] that, you know what I'm saying, they already know what's up. And I tell them too. I say, you get on, bruh. I'm packing my bags.",555,ATL,q_say,"I say,"
77,ATL_se0_ag1_f_02_1,ATL_se0_ag1_f_02,"for colored people should I say, not necessarily Black",203,ATL,q_say,"I say,"
78,ATL_se0_ag1_f_02_1,ATL_se0_ag1_f_02,"No, I told 'em, I'll whoop both of y'all asses.",751,ATL,q_tell,"I told 'em,"
79,ATL_se0_ag1_f_02_1,ATL_se0_ag1_f_02,"[to, you know, rest] or [whatever.] And then I get out the car, and the next thing I know, I see my mom and my dad and everybody's getting out the truck. And I'm like, why are we all stopping here? And they were like, this is it. And I'm like, what's it?",1077,ATL,q_like_copula,"And they were like,"
80,ATL_se0_ag1_f_02_1,ATL_se0_ag1_f_02,"[to, you know, rest] or [whatever.] And then I get out the car, and the next thing I know, I see my mom and my dad and everybody's getting out the truck. And I'm like, why are we all stopping here? And they were like, this is it. And I'm like, what's it?",1077,ATL,q_like_contracted,"And I'm like,"
80,ATL_se0_ag1_f_02_1,ATL_se0_ag1_f_02,"[to, you know, rest] or [whatever.] And then I get out the car, and the next thing I know, I see my mom and my dad and everybody's getting out the truck. And I'm like, why are we all stopping here? And they were like, this is it. And I'm like, what's it?",1077,ATL,q_like_contracted,"And I'm like,"
81,ATL_se0_ag1_f_02_1,ATL_se0_ag1_f_02,"[I thought- I was like, oh it's] great down here. It's safe. It's peaceful. It's this. It's that. And",1171,ATL,q_think,I thought-
82,ATL_se0_ag1_f_02_1,ATL_se0_ag1_f_02,"[I thought- I was like, oh it's] great down here. It's safe. It's peaceful. It's this. It's that. And",1171,ATL,q_like_copula,"I was like,"
83,ATL_se0_ag1_f_02_1,ATL_se0_ag1_f_02,"or if they say, I'm just kicking shit with shorty,",1376,ATL,q_say,"they say,"
84,ATL_se0_ag1_f_02_1,ATL_se0_ag1_f_02,"if we see somebody pull in the neighborhood, we like, who the fuck is that?",1417,ATL,q_like_zero,"we like,"
85,ATL_se0_ag1_f_02_1,ATL_se0_ag1_f_02,"everything he said,",1447,ATL,q_say,"he said,"
86,ATL_se0_ag1_f_02_1,ATL_se0_ag1_f_02,"when I first got down here, I was like,",1476,ATL,q_like_copula,"I was like,"
87,ATL_se0_ag1_f_02_1,ATL_se0_ag1_f_02,"[And] they like, nah, nah, nah, he ain't call you a bitch.",1490,ATL,q_like_zero,"they like,"
88,ATL_se0_ag1_f_02_1,ATL_se0_ag1_f_02,"he just said the word bitch, but he ain't call you a bitch. And I'm like,",1493,ATL,q_like_contracted,"And I'm like,"
89,ATL_se0_ag1_m_02_1,ATL_se0_ag1_m_02,"talking about some business shit. And I was like,",83,ATL,q_like_copula,"And I was like,"
90,ATL_se0_ag1_m_02_1,ATL_se0_ag1_m_02,"I can instantly benefit off of. So I'm like, okay, let me see what this man talking about.",95,ATL,q_like_contracted,"I'm like,"
91,ATL_se0_ag1_m_02_1,ATL_se0_ag1_m_02,"I was like, alright, bruh. Let me- let me- w- let me holler at you real quick, you know what I'm saying.",101,ATL,q_like_copula,"I was like,"
92,ATL_se0_ag1_m_02_1,ATL_se0_ag1_m_02,"And I was like,",119,ATL,q_like_copula,"And I was like,"
93,ATL_se0_ag1_m_02_1,ATL_se0_ag1_m_02,"and from there, I was like, okay.",533,ATL,q_like_copula,"I was like,"
94,ATL_se0_ag1_m_02_1,ATL_se0_ag1_m_02,"[But, uh, yeah-] but, uh, yeah, it was just like, I was- I felt so guilty, cause I was like, oh my god,",1134,ATL,q_like_copula,"I was like,"
95,ATL_se0_ag1_m_02_1,ATL_se0_ag1_m_02,"cause I spe- I had- you know, I spent my time playing basketball cause I was like, shoot,",1143,ATL,q_like_copula,"I was like,"
96,ATL_se0_ag1_m_02_1,ATL_se0_ag1_m_02,"I'm like, hey,",1165,ATL,q_like_contracted,"I'm like,"
97,ATL_se0_ag1_m_02_1,ATL_se0_ag1_m_02,"[I'm like, boy, I'm like], man, I'm like, i-",1226,ATL,q_like_contracted,"I'm like,"
97,ATL_se0_ag1_m_02_1,ATL_se0_ag1_m_02,"[I'm like, boy, I'm like], man, I'm like, i-",1226,ATL,q_like_contracted,"I'm like,"
98,ATL_se0_ag1_m_02_1,ATL_se0_ag1_m_02,"I'm like, as a coa- like, as somebody who-",1227,ATL,q_like_contracted,"I'm like,"
99,ATL_se0_ag1_m_02_1,ATL_se0_ag1_m_02,"And I was like, alright. They taught me how to play.",1318,ATL,q_like_copula,"And I was like,"
100,ATL_se0_ag1_m_02_1,ATL_se0_ag1_m_02,"They was like, alright come on,",1320,ATL,q_like_copula,"They was like,"
101,ATL_se0_ag1_m_02_1,ATL_se0_ag1_m_02,"And then I was like, I already don't wanna play.",1401,ATL,q_like_copula,"I was like,"
102,ATL_se0_ag1_m_02_1,ATL_se0_ag1_m_02,"and they be like, okay,",1627,ATL,q_like_copula,"and they be like,"
103,ATL_se0_ag1_m_02_1,ATL_se0_ag1_m_02,"Like [I said, like /I-/] this shit is out here.",1670,ATL,q_say,"I said,"
104,ATL_se0_ag1_m_02_1,ATL_se0_ag1_m_02,"I put it all in there. I be like, yeah I want the-",1745,ATL,q_like_copula,"I be like,"
105,ATL_se0_ag1_m_02_1,ATL_se0_ag1_m_02,"I'm like, nah nah nah nah.",2088,ATL,q_like_contracted,"I'm like,"
106,ATL_se0_ag1_m_02_1,ATL_se0_ag1_m_02,"and they be like, yo hold up.",2100,ATL,q_like_copula,"and they be like,"
107,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"/RD-SCHOOL-2/, my uncle gave me the choice. He was like, you wanna go to /RD-SCHOOL-3/",274,ROC,q_like_copula,"He was like,"
108,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"at the Catholic school, so I was like,",280,ROC,q_like_copula,"I was like,"
109,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"High school, like the one I like to tell (laughing) people, like they was like, oh how was it at /RD-SCHOOL-3/? I was like, it was like a movie, like",323,ROC,q_like_copula,"I was like,"
110,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"my first application for /RD-SCHOOL-2/, they were like, oh,",572,ROC,q_like_copula,"they were like,"
111,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"So they were like, oh you don't qualify for EOP. I'm like, who the hell selected EOP on my application. So that was",578,ROC,q_like_copula,"they were like,"
112,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"So they were like, oh you don't qualify for EOP. I'm like, who the hell selected EOP on my application. So that was",578,ROC,q_like_contracted,"I'm like,"
113,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"you know how some people go to school and they like find themselves and turn into a whole nother [person, like], and I was like, who is this girl? Because",669,ROC,q_like_copula,"and I was like,"
114,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"and, they're just like whispering in my ear about her. I'm like, well that's- I don't got nothing to do with that. And then because",675,ROC,q_like_contracted,"I'm like,"
115,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"and I'm like, oh okay, that's your business. And then (laughing)",679,ROC,q_like_contracted,"and I'm like,"
116,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"And I'm like,",685,ROC,q_like_contracted,"And I'm like,"
117,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"figure this out for yourself. Like when it came to what, financial aid that you gotta do for school, I'm like, what's that?",802,ROC,q_like_contracted,"I'm like,"
118,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"a lot of the black girls or whatever, and they be like, oh we gotta go and meet with Mr.-",865,ROC,q_like_copula,"and they be like,"
119,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"who headed the program. I was like, what?",871,ROC,q_like_copula,"I was like,"
120,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"Oh you coming? I said, I don't know who that is.",873,ROC,q_say,"I said,"
121,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"they would go. And they was like, you're not in EOP? I was like, what's that? <laugh> And they told me. I said, oh nah.",878,ROC,q_say,"I said,"
122,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"they would go. And they was like, you're not in EOP? I was like, what's that? <laugh> And they told me. I said, oh nah.",878,ROC,q_like_copula,"And they was like,"
122,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"they would go. And they was like, you're not in EOP? I was like, what's that? <laugh> And they told me. I said, oh nah.",878,ROC,q_like_copula,"I was like,"
123,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"one and a half bath starter home. But they were like, oh that's why you don't get EOP. I'm like,",885,ROC,q_like_copula,"they were like,"
124,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"one and a half bath starter home. But they were like, oh that's why you don't get EOP. I'm like,",885,ROC,q_like_contracted,"I'm like,"
125,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"than you can a journalism degree. He was like, with English you can teach y- and you do c- can do journalism and write.",953,ROC,q_like_copula,"He was like,"
126,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"pick American lit or British lit or Old English, like it was annoying. I'm like-",974,ROC,q_like_contracted,I'm like-
127,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"twenty-f- three, twenty-four. I'm like, mm,",1026,ROC,q_like_contracted,"I'm like,"
128,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"but it's nothing that I was like, oh I'm gonna retire from here, cause I don't plan on",1039,ROC,q_like_copula,"I was like,"
129,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"nobody's being- I don't want you to go into nursing. He's like, no /you too,/ no I don't want you to do that. And my sister, she was supposed to be a lawyer.",1099,ROC,q_like_contracted,"He's like,"
130,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"She's a social worker. (laughing) He's like, no, no.",1101,ROC,q_like_contracted,"He's like,"
131,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"but I always thought like- you know, you see yourself when you grow up, I always thought I was gonna be a teacher until I experienced it. I was like, I'm not doing this",1109,ROC,q_like_copula,"I was like,"
132,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"So I was like, hm, I'm gonna go back to school. What do I want to go back to school for? So I was researching all these things, whether I wanted to",1142,ROC,q_like_copula,"I was like,"
133,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"by the New York State Department of Education. I was like, for what?",1218,ROC,q_like_copula,"I was like,"
134,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"pulling up my credit report and calling these numbers that's on it, and what loan. I was like, what loan?",1241,ROC,q_like_copula,"I was like,"
135,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"Oh yeah, that's what I told her, I said- like we were looking at the rental house. She's like, oh my god. I said, don't worry.",1276,ROC,q_say,I said-
135,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"Oh yeah, that's what I told her, I said- like we were looking at the rental house. She's like, oh my god. I said, don't worry.",1276,ROC,q_say,"I said,"
136,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"Oh yeah, that's what I told her, I said- like we were looking at the rental house. She's like, oh my god. I said, don't worry.",1276,ROC,q_like_contracted,"She's like,"
137,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"[Yeah, she won't be there] for long. /RD-NAME-1/ is, um, talking crap to me. She's like, you gotta let her finish with her friends because",1302,ROC,q_like_contracted,"She's like,"
138,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"and she's telling me like,",1315,ROC,q_tell,"and she's telling me like,"
139,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"I said, oh.",1321,ROC,q_say,"I said,"
140,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"I said, I don't misunderstand anything.",1323,ROC,q_say,"I said,"
141,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"And I told her, I said, these teachers lazy.",1379,ROC,q_say,"I said,"
142,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"And I told her, I said, these teachers lazy.",1379,ROC,q_tell,"And I told her,"
143,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"Oh, I said, why does she keep giving you this?",1396,ROC,q_say,"I said,"
144,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"<cough> When /RD-NAME-4/ told me that, I was like, she did what?",1420,ROC,q_like_copula,"I was like,"
145,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"went to the school a few times, and they're like, who are- hi, how can we help? She's like, I'm /RD-NAME-2/'s mom.",1482,ROC,q_like_contracted,"She's like,"
146,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"She's like, well West Irondequoit. I said, no.",1498,ROC,q_say,"I said,"
147,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"She's like, well West Irondequoit. I said, no.",1498,ROC,q_like_contracted,"She's like,"
148,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"You can't tell somebody to- what to do with their kids, but I was telling /RD-NAME-1/ like,",1543,ROC,q_tell,"I was telling /RD-NAME-1/ like,"
149,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"And I told her, I was like,",1579,ROC,q_tell,"And I told her,"
150,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"And I told her, I was like,",1579,ROC,q_like_copula,"I was like,"
151,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"you need to look into something else. I said, why didn't you just keep him in a private school. She was like, oh I was thinking maybe I could get a break from tuition",1581,ROC,q_say,"I said,"
152,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"you need to look into something else. I said, why didn't you just keep him in a private school. She was like, oh I was thinking maybe I could get a break from tuition",1581,ROC,q_like_copula,"She was like,"
153,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"And I was like, mm you don't get a break, I guess because",1585,ROC,q_like_copula,"And I was like,"
154,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"So I'm like, huh,",1597,ROC,q_like_contracted,"I'm like,"
155,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"[I] was what, like eleven in six grade? Twelve? Eleven. Yeah, I'm like,",1666,ROC,q_like_contracted,"I'm like,"
156,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"I went to Boston recently. I was like, oh lord.",1861,ROC,q_like_copula,"I was like,"
157,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"and Baltimore. She was like, I wanna move here. Like I l- she was four, like I- can we stay? I was like, we don't live here. (laughing)",1920,ROC,q_like_copula,"She was like,"
157,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"and Baltimore. She was like, I wanna move here. Like I l- she was four, like I- can we stay? I was like, we don't live here. (laughing)",1920,ROC,q_like_copula,"I was like,"
158,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"And the officer followed me the whole time, and then when he see me get out I was like, are you following me?",2027,ROC,q_like_copula,"I was like,"
159,ROC_se0_ag2_f_02_1,ROC_se0_ag2_f_02,"He was like, yeah I was just seeing, da da. I was like, what were you seeing? I was like, I live out here.",2029,ROC,q_like_copula,"He was like,"
